t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
1219.0,1390485.4394100877,2908747.765913163,5520288.256081642,-442.9442694503814,-537.7349724427331,379.2777788233943
1220.0,1390042.6877882904,2908210.0511972215,5520665.710555516,-442.56853192090057,-537.7074674766045,375.6337891262956
1221.0,1389600.3023462459,2907672.3509782096,5521039.523659894,-442.21129581029527,-537.7049079970457,371.9962460724637
1222.0,1389158.2651966698,2907134.6413812274,5521409.703047661,-441.8713396958774,-537.7251637994777,368.3675558078103
1223.0,1388716.559666854,2906596.9006506107,5521776.25877151,-441.54745565971825,-537.7661262310576,364.75011248420924
1224.0,1388275.1702853504,2906059.1091287653,5522139.2032726295,-441.238448875607,-537.8257073725108,361.146299559623
1225.0,1387834.0827691029,2905521.2492358657,5522498.551370629,-440.9431371475803,-537.9018391727004,357.5584909832105
1226.0,1387393.2840110552,2904983.30545042,5522854.320254596,-440.66035041201394,-537.9924725594465,353.98905225330964
1227.0,1386952.7620682789,2904445.2642907468,5523206.529475136,-440.388930199435,-538.0955765203107,350.440341331996
1228.0,1386512.5061506564,2903907.1142973793,5523555.20093726,-440.12772907002363,-538.2091371747665,346.91470941947773
1229.0,1386072.5066101388,2903368.8460163972,5523900.358893975,-439.8756100225728,-538.3311568405479,343.4145015710965
1230.0,1385632.7549306112,2902830.451983698,5524242.029940402,-439.6314458864508,-538.4596531053539,339.9420571369119
1231.0,1385193.243718366,2902291.9267101865,5524580.2430082485,-439.39411869854666,-538.592657916015,336.49971003225073
1232.0,1384753.9666932141,2901753.266667866,5524915.029360467,-439.16251906740945,-538.7282166841906,333.08978881826624
1233.0,1384314.918680231,2901214.470276818,5525246.422585885,-438.93554553727154,-538.8643874265254,329.71461657620966
1234.0,1383876.0956021396,2900675.537893013,5525574.458593619,-438.71210394555237,-538.9992399429902,326.37651056982577
1235.0,1383437.49447234,2900136.471796932,5525899.175607025,-438.4911067862995,-539.1308550394606,323.0777816902846
1236.0,1382999.113388567,2899597.276182934,5526220.614157,-438.2714725822443,-539.2573238096666,319.82073365943506
1237.0,1382560.9515271755,2899057.957149313,5526538.817074344,-438.05212526547257,-539.376746975584,316.6076619825326
1238.0,1382123.009138036,2898518.522688983,5526853.829480965,-437.8319935774198,-539.4872343062889,313.44085265044123
1239.0,1381685.2875400207,2897978.9826807003,5527165.698779644,-437.61001049005426,-539.5869041110855,310.3225805587135
1240.0,1381247.789117056,2897439.348880761,5527474.474642082,-437.38511264906265,-539.6738828201778,307.255107648205
1241.0,1380810.5173147225,2896899.63491506,5527780.208994941,-437.15623984939884,-539.7463046715129,304.2406807458028
1242.0,1380373.4766373571,2896359.856271418,5528082.956003574,-436.9223345478531,-539.8023114968091,301.2815291043371
1243.0,1379936.6726456268,2895820.0302920663,5528382.7720531495,-436.682341414853,-539.8400526267942,298.37986161373556
